what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1321130704648
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1321130704648
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321130704648
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1321130704648
java.vm.specification.version,sysinfo,,,"1.7",1321130704648
java.vm.vendor,sysinfo,,,"Oracle Corporation",1321130704648
java.vm.version,sysinfo,,,"21.0-b17",1321130704648
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1321130704690
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321130704720
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1321130705058
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1321130705261
started,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1321130705808
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1321130706169
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1321130707933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130712359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130712724
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321130718530
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1321130724824
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1321130725012
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1321130725101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130725868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130728255
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1321130728416
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1321130728516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130729059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130735982
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1321130737069
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321130737639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130738618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130740864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130785003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130786034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130786205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130787130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130787749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130794587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321130799714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321130799861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130805695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130828083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321130832784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130837807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130838599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130838754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130840247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130840851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130878407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130939770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321130940827
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.line",1321130940836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321130972740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321130973243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321130973736
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321130974083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321130974286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321130974729
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321131008538
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1321131015129
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1321131015152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131145401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131153611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131235315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131383086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131415438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131417594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131419320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131420960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131421129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131422376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131423239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131427579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131451264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131454286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131454467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131455218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131455926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131458433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131458964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321131460113
